Noun,Preposition,Example,Translation
reason,for,What's the reason for the delay?,В чём причина задержки?
solution,to,We found a solution to the problem.,Мы нашли решение проблемы.
answer,to,The answer to the question is simple.,Ответ на вопрос прост.
reaction,to,His reaction to the news was surprising.,Его реакция на новости удивила.
connection,with,She has a strong connection with her family.,У неё сильная связь с семьёй.
effect,on,This has a big effect on our results.,Это сильно влияет на наши результаты.
influence,on,His influence on the team is huge.,Его влияние на команду огромное.
increase,in,There was an increase in sales.,Был рост продаж.
decrease,in,We noticed a decrease in performance.,Мы заметили снижение производительности.
demand,for,The demand for electric cars is rising.,Спрос на электромобили растёт.
attitude,to/towards,Her attitude towards work is positive.,Её отношение к работе позитивное.
key,to,Education is the key to success.,Образование — ключ к успеху.
invitation,to,I got an invitation to the party.,Я получил приглашение на вечеринку.
access,to,Do you have access to the database?,У тебя есть доступ к базе данных?
damage,to,There was damage to the building.,Были повреждения здания.
contribution,to,He made a big contribution to the project.,Он внёс большой вклад в проект.
response,to,This is a response to your request.,Это ответ на ваш запрос.
preference,for,I have a preference for quiet places.,Я предпочитаю тихие места.
transition,from/to,The transition from school to university is hard.,Переход от школы к университету сложен.
respect,for,He has great respect for his mentor.,Он очень уважает своего наставника.
interest,in,She showed interest in the topic.,Она проявила интерес к теме.
involvement,in,His involvement in the project was minimal.,Его участие в проекте было минимальным.
need,for,There is a need for more volunteers.,Есть потребность в большем числе волонтёров.
fear,of,He has a fear of heights.,Он боится высоты.
hope,for,We have hope for the future.,У нас есть надежда на будущее.
experience,in,She has experience in marketing.,У неё есть опыт в маркетинге.
belief,in,He has a strong belief in justice.,Он твёрдо верит в справедливость.
request,for,We received a request for information.,Мы получили запрос на информацию.
respect,for,I have respect for your decision.,Я уважаю твоё решение.
trust,in,She has trust in her team.,Она доверяет своей команде.
chance,of,There's a good chance of success.,Есть хорошие шансы на успех.
habit,of,He has a habit of talking too much.,У него привычка много говорить.
risk,of,There's a risk of infection.,Есть риск заражения.
advantage,of,What are the advantages of this method?,Каковы преимущества этого метода?
disadvantage,of,One disadvantage of the plan is cost.,Один из недостатков плана — стоимость.
knowledge,of,Her knowledge of history is impressive.,Её знание истории впечатляет.
cost,of,The cost of living is high.,Стоимость жизни высока.
problem,with,There's a problem with the engine.,Есть проблема с двигателем.
relationship,with,He has a good relationship with his boss.,У него хорошие отношения с начальником.
difficulty,in,He has difficulty in understanding accents.,Ему сложно понимать акценты.
opinion,of/about,What's your opinion about this?,Каково твоё мнение об этом?
contact,with,I'm in contact with the team.,Я на связи с командой.
concern,about,There's concern about the delay.,Есть обеспокоенность по поводу задержки.
discussion,about,We had a discussion about the project.,Мы обсудили проект.
reputation,for,He has a reputation for honesty.,У него репутация честного человека.
apology,for,He gave an apology for the mistake.,Он извинился за ошибку.
award,for,She won an award for best actress.,Она получила награду за лучшую актрису.
crime,against,It's a crime against humanity.,Это преступление против человечества.
example,of,It's a good example of teamwork.,Это хороший пример командной работы.
limit,to,There's a limit to your patience.,У терпения есть предел.
