Verb,Preposition,Example,Translation
wait,for,I'm waiting for the bus.,Я жду автобус.
depend,on,It depends on the weather.,Это зависит от погоды.
belong,to,This book belongs to me.,Эта книга моя.
look,at,Look at the screen.,Посмотри на экран.
think,about,I'm thinking about the trip.,Я думаю о поездке.
talk,to/about,Talk to her about it.,Поговори с ней об этом.
listen,to,I listen to music.,Я слушаю музыку.
speak,to/with,She spoke to the manager.,Она говорила с менеджером.
pay,for,I paid for the meal.,Я заплатил за еду.
rely,on,You can rely on me.,Ты можешь на меня положиться.
apply,for,I applied for a job.,Я подал заявление на работу.
agree,with,I agree with you.,Я с тобой согласен.
complain,about,He complained about the service.,Он пожаловался на сервис.
look,after,She looks after the baby.,Она присматривает за ребёнком.
believe,in,I believe in hard work.,Я верю в упорный труд.
dream,about,I dream about success.,Я мечтаю об успехе.
laugh,at,Don't laugh at him.,Не смейся над ним.
worry,about,I worry about money.,Я волнуюсь из-за денег.
search,for,I'm searching for a solution.,Я ищу решение.
approve,of,They approved of the plan.,Они одобрили план.
apologize,for,I apologize for being late.,Извиняюсь за опоздание.
argue,with,He argued with his friend.,Он спорил с другом.
ask,for,She asked for help.,Она попросила помощи.
blame,for,Don't blame me for that.,Не вини меня за это.
care,about,He cares about the environment.,Ему важно состояние природы.
concentrate,on,Concentrate on your work.,Сконцентрируйся на работе.
consist,of,The group consists of five people.,Группа состоит из пяти человек.
cope,with,He can't cope with stress.,Он не справляется со стрессом.
escape,from,He escaped from prison.,Он сбежал из тюрьмы.
graduate,from,She graduated from university.,Она окончила университет.
insist,on,I insist on an answer.,Я настаиваю на ответе.
object,to,They objected to the plan.,Они возразили против плана.
prepare,for,We're preparing for the exam.,Мы готовимся к экзамену.
prevent,from,Rain prevented us from going out.,Дождь помешал нам выйти.
recover,from,He's recovering from the flu.,Он восстанавливается после гриппа.
refer,to,He referred to his notes.,Он сослался на свои записи.
suffer,from,She suffers from anxiety.,Она страдает от тревожности.
succeed,in,He succeeded in solving the problem.,Он успешно решил проблему.
talk,about,They talked about politics.,Они говорили о политике.
translate,into,Translate this into Russian.,Переведи это на русский.
vote,for,I voted for her.,Я проголосовал за неё.
warn,about,They warned me about the risk.,Они предупредили меня о риске.
write,about,He wrote about his journey.,Он писал о своём путешествии.
work,on,She's working on a project.,Она работает над проектом.
deal,with,I dealt with the issue.,Я разобрался с проблемой.
pay,attention to,Pay attention to the details.,Обрати внимание на детали.
run,into,I ran into an old friend.,Я столкнулся со старым другом.
come,across,I came across a great book.,Я наткнулся на отличную книгу.
get,rid of,I want to get rid of clutter.,Я хочу избавиться от хлама.
look,forward to,I look forward to meeting you.,Жду с нетерпением встречи.
