english|variants|sources_count|first_source
a cure for this disease|лекарство от этой болезни|1|Lesson 10 - Present Perfect vs Past Simple.md
a few|несколько|1|Lesson 38 - Дополнительные грамматические конструкций.md
a good sense of humour|хорошее чусвто юмора|1|Lesson 45 - Артиклы.md
a growing demand|растущий спрос|1|Lesson 10 - 320 зависимых предлогов.md
a lack something|недостаток, нехватка чего-то|1|Lesson 5 - Зависимые предлоги с существительными.md
a matter of time|дело времени|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
a sense of admiration|чувство восхищения|1|Lesson 19 - Времена в английском и смешанная практика Часть 1.md
abilities|способности|1|Lesson 34 - 360 глаголов в разных временах 8.md
absent|отсутствующий|1|Lesson 44 - 230 самых важных прилагательных в разных временах - часть 6.md
absorbed in|поглощен чем-то|1|Lesson 8 - 320 зависимых предлогов.md
acceptable|приемлимый|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
accusations|обвинения|1|Lesson 34 - 360 глаголов в разных временах 8.md
accuse of|обвинять в чем-то|1|Lesson 9 - 320 зависимых предлогов.md
active|активный|1|Lesson 50 - Словообразование.md
actually|на самом деле|1|Lesson 47 - Наречия в английском часть 1.md
additional|дополнительный|1|Lesson 38 - 450 самых важных прилагательных в разных временах - часть 7.md
admire|восхищаться|1|Lesson 1 - 150 важных фразовых глаголов часть 1.md
advantages of|преимущество чего-то|1|Lesson 10 - 320 зависимых предлогов.md
aggressive|агрессивный|1|Lesson 39 - 450 самых важных прилагательных в разных временах - часть 8.md
all|все, всё|1|Lesson 50 - Важные грамматические конструкций.md
all day|весь день, указывает на Present Perfect Continuous если действие все еще продолжается | весь день (указывает на длительность)|2|Lesson 11 - Present Perfect Continuous vs Present Perfect Past Continuous vs Present Simple.md
all over the world|по всему миру|2|Lesson 14 - Пассивный залог в основных временах.md
already|уже|1|Lesson 11 - Present Perfect Continuous vs Present Perfect Past Continuous vs Present Simple.md
alternative|алтернативный|1|Lesson 41 - 450 самых важных прилагательных в разных временах - часть 10.md
amazed by / at|поражен чем-то|1|Lesson 2 - Зависимые предлоги с прилагательными 2.md
amazing|удивительный | удивительный, изумительный|2|Lesson 44 - 230 самых важных прилагательных в разных временах - часть 6.md
ambitious|амбициозный|1|Lesson 42 - 450 самых важных прилагательных в разных временах - часть 11.md
an increasing demand|растущий спрос|1|Lesson 10 - 320 зависимых предлогов.md
analytical|аналитеческие|1|Lesson 34 - 360 глаголов в разных временах 8.md
annual|ежегодный|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
answer something|отчечать на что-то|1|Lesson 4 - Зависимые предлоги с прилагательными 4.md
apologise for|извинятся за|1|Lesson 5 - Зависимые предлоги с существительными.md
apologise for doing something|извинять за что-то|1|Lesson 10 - 320 зависимых предлогов.md
apologise for something|извинять за что-то|1|Lesson 10 - 320 зависимых предлогов.md
apologize to someone|извинять перед кем-то|1|Lesson 10 - 320 зависимых предлогов.md
appear|появляться|1|Lesson 34 - 360 глаголов в разных временах 8.md
apply|применять|1|Lesson 33 - 360 глаголов в разных временах 7.md
approach|подход|1|Lesson 40 - 450 самых важных прилагательных в разных временах - часть 9.md
appropriate|подходящий|1|Lesson 33 - 450 самых важных прилагательных в разных временах - часть 2.md
arrive|прибывать, приезжать|1|Lesson 4 - Зависимые предлоги с прилагательными 4.md
arrogant|высокомерный|1|Lesson 34 - 450 самых важных прилагательных в разных временах - часть 3.md
artificial|искуственный|1|Lesson 32 - 450 самых важных прилагательных в разных временах - часть 1.md
at a loss|в растерянности|1|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
at present|в настоящее время | в настоящее время (указывает на Present Continuous)|2|Lesson 34 - 360 глаголов в разных временах 8.md
at the end of beginning|в начале чего-то|1|Lesson 4 - Зависимые предлоги с прилагательными 4.md
at the end of something|в конце чего-то|1|Lesson 4 - Зависимые предлоги с прилагательными 4.md
