idiom|translation|exportedAt|status|knownAt|s1|s2|s3|note
a piece of cake|пустяк; легко|2026-04-02|learning||The exam was **a piece of cake**.|Don't worry, it'll be **a piece of cake**.|Fixing this is **a piece of cake** for him.|Casual / informal. Используется чтобы сказать что что-то очень легко. Метафора от того, что есть кусок торта = легко и приятно. "It was a piece of cake" = было проще простого.
break the ice|разрядить обстановку|2026-04-02|learning||A joke can help **break the ice**.|She told a funny story to **break the ice**.|It's hard to **break the ice** at new jobs.|Neutral / informal. На вечеринках, встречах, первых разговорах. Метафора: лёд между людьми надо разбить. Часто "icebreaker" = способ начать общение.
hit the nail on the head|попасть в точку|2026-04-02|learning||You really **hit the nail on the head** with that comment.|She **hit the nail on the head** about the problem.|I think he **hit the nail on the head**.|Neutral. Когда кто-то точно подметил суть. Метафора от плотника: попасть точно по гвоздю. Используется в любом контексте — работа, разговоры.
cost an arm and a leg|стоить целое состояние|2026-04-02|learning||That car **cost an arm and a leg**.|Rent in London **costs an arm and a leg**.|Her wedding dress **cost an arm and a leg**.|Informal. Когда что-то очень дорого. Преувеличение. Не для деловой переписки. "That car cost an arm and a leg".
let the cat out of the bag|выдать секрет|2026-04-02|learning||She **let the cat out of the bag** about the surprise.|Don't **let the cat out of the bag**!|He accidentally **let the cat out of the bag**.|Informal. Случайно выдать секрет. Метафора от средневекового рынка: продавцы прятали кошку вместо поросёнка, и если её выпустить — обман раскроется.
once in a blue moon|очень редко|2026-04-02|learning||I eat fast food **once in a blue moon**.|She visits us **once in a blue moon**.|We go out **once in a blue moon**.|Neutral / informal. Очень редко. "Blue moon" — астрономически редкое явление. "I see her once in a blue moon".
under the weather|неважно себя чувствовать|2026-04-02|learning||I'm feeling **under the weather** today.|She's been **under the weather** all week.|He looks a bit **under the weather**.|Informal. Чувствовать себя нехорошо, болеть. Мягче чем "I am sick". "I am feeling under the weather today".
bite off more than you can chew|взять больше, чем можешь|2026-04-02|learning||I think I **bit off more than I could chew** with this project.|Don't **bite off more than you can chew**.|She tends to **bite off more than she can chew**.|Neutral. Взять больше чем можешь сделать. Часто советный тон: предупреждение.
the ball is in your court|ход за тобой|2026-04-02|learning||I've done my part — **the ball is in your court**.|**The ball is in their court** now.|I made the offer, so **the ball is in her court**.|Neutral / business. Очередь действовать за тобой. Из тенниса. "I've done my part — the ball is in your court".
beat around the bush|ходить вокруг да около|2026-04-02|learning||Stop **beating around the bush** and tell me.|She always **beats around the bush**.|Don't **beat around the bush** — just say it.|Informal. Ходить вокруг да около, избегать прямого ответа. "Stop beating around the bush and tell me".
burn bridges|сжигать мосты|2026-04-02|learning||Don't **burn bridges** with your old boss.|She **burned bridges** when she quit.|Try not to **burn bridges** in this industry.|Neutral. Испортить отношения навсегда. "Don't burn bridges — you might need them later".
