phrasal_verb|translation|exportedAt|status|knownAt|s1|s2|s3
break down|сломаться; расплакаться||||The car **broke down** on the highway.|She **broke down** in tears after the news.|The washing machine **broke down** again.
break in|вломиться; разносить обувь||||Someone **broke in** while we were away.|I need to **break in** my new shoes.|A thief **broke in** through the window.
break into|вломиться в; начать внезапно||||They **broke into** the house at night.|She **broke into** a big smile.|He **broke into** the office to steal files.
break off|отломить; прервать||||She **broke off** a piece of chocolate.|They **broke off** the engagement last week.|He **broke off** in the middle of his speech.
break out|вспыхнуть; сбежать||||A fire **broke out** in the kitchen.|War **broke out** in 1939.|He **broke out** of prison last night.
break through|прорваться; совершить прорыв||||The sun **broke through** the clouds.|Scientists **broke through** with a new treatment.|The team **broke through** after months of work.
break up|расстаться; разбить на части||||They **broke up** after three years together.|The teacher **broke up** the fight.|Let's **break up** this task into smaller steps.
bring back|вернуть; вызвать воспоминания||||Please **bring back** my book tomorrow.|This song **brings back** happy memories.|Can you **bring back** some milk from the shop?
bring down|снизить; свергнуть||||We need to **bring down** the costs.|The scandal **brought down** the government.|The sale **brought down** prices by 30 percent.
bring in|ввести; приносить доход||||They **brought in** a new law last year.|The business **brings in** good money.|The company **brought in** an outside expert.
bring out|выпустить; выявить||||They **brought out** a new phone model.|The sun **brings out** the colour in your hair.|She **brings out** the best in people.
bring up|воспитать; поднять тему||||She was **brought up** by her grandparents.|Don't **bring up** that topic again.|He **brought up** an interesting point.
call back|перезвонить||||Can you **call** me **back** in ten minutes?|I'll **call** you **back** after the meeting.|She asked him to **call back** later.
call for|требовать; зайти за кем-то||||This situation **calls for** patience.|I'll **call for** you at seven.|The job **calls for** strong skills.
call off|отменить||||They **called off** the wedding.|The game was **called off** due to rain.|We had to **call off** the search.
call on|навестить; призвать||||The teacher **called on** me to answer.|We **called on** our friends on Sunday.|He **called on** the team to work harder.
carry on|продолжать||||Please **carry on** with your work.|She **carried on** talking as if nothing happened.|**Carry on** without me, I'll catch up.
carry out|выполнить; провести||||The doctor **carried out** the operation.|We need to **carry out** more tests.|They **carried out** his instructions carefully.
check in|зарегистрироваться||||We **checked in** at the hotel at noon.|You can **check in** online before your flight.|Please **check in** at the front desk.
check out|выписаться; проверить||||We **checked out** of the hotel at ten.|You should **check out** this new restaurant.|He **checked out** the book from the library.
cheer up|подбодрить; повеселеть||||**Cheer up**! Things will get better.|I bought her flowers to **cheer** her **up**.|He **cheered up** when he saw his friends.
clean up|убрать; навести порядок||||Please **clean up** your room before dinner.|We **cleaned up** after the party.|The city **cleaned up** the park.
come across|наткнуться на||||I **came across** an old photo yesterday.|She **came across** as very friendly.|We **came across** a nice cafe on the way.
come along|идти вместе; продвигаться||||Would you like to **come along** with us?|How is your project **coming along**?|**Come along**, we're going to be late!
come around|передумать; прийти в себя||||She'll **come around** to the idea eventually.|He **came around** after a few minutes.|My parents finally **came around** to my plan.
come back|вернуться||||When are you **coming back**?|He **came back** from holiday last week.|The memory **came back** to me suddenly.
come down with|заболеть||||I think I'm **coming down with** a cold.|She **came down with** the flu last week.|He **came down with** a fever.
come in|войти||||Please **come in** and sit down.|The train **came in** ten minutes late.|New information **came in** this morning.
come out|выйти; стать известным||||Her new book **comes out** next month.|The truth **came out** in the end.|The photos **came out** very well.
come up|возникнуть||||Something **came up** and I can't make it.|A problem **came up** at work today.|The topic **came up** during the meeting.
