deck_id|title|content
idioms|Что такое идиомы|Идиома — выражение чьё значение нельзя понять буквально. "Kick the bucket" не про ведро, а "умереть".\n\n**Регистр:** большинство идиом разговорные. Не используй в формальных письмах. Помечай в голове: casual / business-friendly / slang.\n\n**Не переводи дословно.** Запоминай как единое целое + ситуацию использования. "Piece of cake" = легко. Не "кусок торта".\n\n**Учи в контексте.** На карточке три предложения — обращай внимание на то с чем идиома сочетается (с какими глаголами, в каком времени).
collocations|Что такое коллокации|Коллокация — устойчивое сочетание слов которые "звучат естественно" вместе. **make a decision** — да, **do a decision** — нет.\n\n**Главные паттерны:**\n• verb + noun: make a mistake, take a break, do homework\n• adjective + noun: heavy rain, strong coffee, deep sleep\n• adverb + adjective: deeply concerned, highly unlikely, perfectly fine\n• verb + preposition: depend on, succeed in (но это уже Dep Prepositions)\n\n**Зачем:** именно коллокации делают речь нативной. Грамматика правильная + неправильная коллокация = звучит как робот.\n\n**Учи парами.** Не "make" отдельно и "decision" отдельно — а "make a decision" целиком.
prep|Prepositional Phrases|Устойчивые фразы с предлогами которые работают как наречия или союзы: **on purpose**, **by accident**, **in advance**.\n\n**Это не зависимые предлоги.** Здесь предлог + существительное образуют целое выражение. В Dep Prepositions предлог зависит от глагола/прилагательного.\n\n**Главные группы:**\n• by + noun: by chance, by mistake, by heart\n• in + noun: in advance, in fact, in general\n• on + noun: on purpose, on time, on average\n• at + noun: at first, at last, at least\n\n**Учи как блоки.** "On purpose" одно слово в голове. Не "on" + "purpose".
linking|Linking Words (связки)|Слова и фразы связывающие предложения и абзацы. Без них речь рваная.\n\n**Категории:**\n• Контраст: however, nevertheless, on the other hand, although\n• Добавление: moreover, furthermore, in addition, what's more\n• Причина-следствие: therefore, consequently, as a result, due to\n• Примеры: for example, for instance, such as\n• Заключение: in conclusion, to sum up, overall\n• Время: meanwhile, eventually, at first, finally\n\n**Регистр:** часть формальные (furthermore, nonetheless), часть нейтральные (however, also), часть разговорные (anyway, plus). Не путай.\n\n**Учи в контексте.** Видишь "however" — обрати внимание на запятую после.
confusing|Confusing Words|Пары/тройки слов которые путают: **affect/effect**, **borrow/lend**, **say/tell**.\n\n**Типичные ошибки русскоговорящих:**\n• say/tell: say что-то, tell кому-то\n• borrow/lend: borrow брать (у кого-то), lend давать (кому-то)\n• do/make: do для процесса, make для создания\n• raise/rise: raise что-то, rise само поднимается\n\n**Стратегия:** учи пару целиком + конкретный тест-вопрос. "Я тебе __ что..." — tell. "Я тебе __ книгу" — lend.\n\n**На карточке** оба слова рядом — сравнивай контексты использования.
irregular|Irregular Verbs (неправильные глаголы)|Глаголы у которых формы V2 (past simple) и V3 (past participle) образуются НЕ по правилу +ed.\n\n**Что это значит:**\n• V1 (base) — break\n• V2 (past) — broke\n• V3 (past participle) — broken (для perfect tenses и passive)\n\n**Типы изменений:**\n• Vowel change: sing/sang/sung, drink/drank/drunk\n• Same form: cut/cut/cut, put/put/put, hit/hit/hit\n• -en ending: take/took/taken, write/wrote/written\n• Same V2 and V3: bring/brought/brought, buy/bought/bought\n• Total irregular: be/was-were/been, go/went/gone\n\n**Учить только зубрёжкой.** Карточка проигрывает все три формы — слушай и повторяй вслух.
false|False Friends|Слова которые звучат похоже на русские но означают другое.\n\n**Классические ловушки:**\n• magazine ≠ магазин (журнал)\n• fabric ≠ фабрика (ткань)\n• accurate ≠ аккуратный (точный)\n• sympathy ≠ симпатия (сочувствие)\n• preservative ≠ презерватив (консервант)\n\n**Стратегия:** на карточке показано "Похоже на «магазин»" — это предупреждение. Запоминай реальное значение + русский эквивалент похожего слова.\n\n**Проблема:** мозг автоматически переводит "magazine = магазин" так как часто слышал. Карточки разрывают эту связь через повторение правильного значения в контексте.
true|True Friends|Слова которые звучат похоже на русские и **реально означают то же**: **airport** — аэропорт, **bank** — банк.\n\n**Зачем учить:** ты их и так понимаешь — но нужна правильная орфография, произношение и употребление.\n\n**Подводные камни:**\n• Ударение: Ин-тер-НЕТ (рус.) vs IN-ter-net (англ.)\n• Произношение: пицца vs PEE-tsuh\n• Артикли: где нужны, где нет (the internet, but pizza без артикля)\n• Множественное: data в английском часто uncountable\n\n**Не считай что "знаешь" слово.** Послушай аудио, повтори с правильным ударением. Это и есть точка роста.
phrasal_v|Phrasal Verbs|Глагол + предлог/наречие = новое значение. **break down** ≠ break + down.\n\n**Типы:**\n• Separable transitive: можно поставить местоимение в середину — turn the TV on / turn it on\n• Inseparable transitive: всегда вместе — look after the kids / look after them (НЕ *look the kids after*)\n• Intransitive: без объекта — break down, give up, hang on\n\n**Главное:** значение нельзя угадать. **Get up** = вставать, **get over** = пережить, **get away** = сбежать. Учи как отдельные слова.\n\n**На карточке cloze формат:** "The car ___ on the highway" — заставляет вспомнить именно phrasal verb а не просто глагол.
phrasal_n|Phrasal Nouns|Существительные образованные от phrasal verbs: **breakdown** (от break down), **takeoff** (от take off).\n\n**Закономерности:**\n• break down → breakdown (поломка)\n• take off → takeoff (взлёт)\n• give away → giveaway (раздача)\n• fall out → fallout (последствия)\n\n**Орфография:** обычно слитно (breakdown) или через дефис (break-up). Раздельно — это глагол: "the car broke down" vs "the breakdown".\n\n**Ударение:** в существительном на первый слог (BREAK-down), в глаголе на второй (break DOWN).
