phrase|translation|exportedAt|status|knownAt|s1|s2|s3|note
on purpose|нарочно; специально|2026-04-02|learning||She did it **on purpose**.|I didn't break it **on purpose**.|He said it **on purpose** to annoy me.|
by accident|случайно|2026-04-02|learning||I found the letter **by accident**.|She deleted the file **by accident**.|We met **by accident** at the airport.|
in advance|заранее|2026-04-02|learning||Please book **in advance**.|She paid **in advance** for the course.|Let me know **in advance** if you can't come.|
at risk|под угрозой|2026-04-02|learning||Your health is **at risk** if you don't sleep.|Children are **at risk** in that area.|The company is **at risk** of bankruptcy.|
for good|навсегда|2026-04-02|learning||She left the country **for good**.|He gave up smoking **for good**.|They moved to Spain **for good**.|
in charge|ответственный; главный|2026-04-02|learning||Who's **in charge** here?|She's **in charge** of the project.|He's **in charge** while the boss is away.|
in common|общего|2026-04-02|learning||We have a lot **in common**.|They have nothing **in common**.|What do the two cities have **in common**?|
in general|в общем; в целом|2026-04-02|learning||**In general**, I prefer tea to coffee.|**In general**, the feedback was positive.|She's **in general** happy with her job.|
in fact|на самом деле|2026-04-02|learning||He's not lazy. **In fact**, he works very hard.|**In fact**, she already knew the answer.|I didn't dislike it. **In fact**, I loved it.|
in favour of|в пользу|2026-04-11|learning||Most people voted **in favour of** the plan.|She spoke **in favour of** the idea.|The court ruled **in favour of** the company.|
in case|на всякий случай|2026-04-02|learning||Take an umbrella **in case** it rains.|I saved the file **in case** something went wrong.|Call me **in case** you need help.|
in time|вовремя (успеть)|2026-04-02|learning||We arrived **in time** for the show.|She finished **in time** to catch the bus.|Will we get there **in time**?|
on time|вовремя (по расписанию)|2026-04-02|learning||The train arrived **on time**.|She's always **on time** for meetings.|Please be **on time** tomorrow.|
at once|сразу; немедленно|2026-04-02|learning||I need the report **at once**.|Don't all speak **at once**.|She knew **at once** something was wrong.|
at first|сначала; поначалу|2026-04-02|learning||**At first**, I didn't like the job.|**At first** it was hard, but I got used to it.|She was shy **at first**.|
at last|наконец|2026-04-02|learning||**At last**, the rain stopped.|She passed the exam **at last**!|**At last**, we found the answer.|
at least|по крайней мере|2026-04-02|learning||It will take **at least** two hours.|**At least** nobody got hurt.|She has **at least** three cats.|
at most|самое большее|2026-04-02|learning||It will cost **at most** fifty pounds.|**At most**, ten people showed up.|The trip takes **at most** one hour.|
by chance|случайно|2026-04-02|learning||I met him **by chance** on the street.|She found the book **by chance**.|We discovered it **by chance**.|
by heart|наизусть|2026-04-02|learning||She knows the poem **by heart**.|Learn these words **by heart**.|He knows all the lyrics **by heart**.|
by mistake|по ошибке|2026-04-02|learning||I took your bag **by mistake**.|She sent the email **by mistake**.|The wrong order was delivered **by mistake**.|
by the way|кстати|2026-04-02|learning||**By the way**, have you seen Tom?|Oh, **by the way**, dinner is at seven.|**By the way**, I forgot to tell you something.|
for instance|например|2026-04-02|learning||Some fruits, **for instance** oranges, are rich in vitamin C.|**For instance**, she could work from home.|Many animals, **for instance** cats, are nocturnal.|
for a while|на некоторое время|2026-04-02|learning||Let's sit here **for a while**.|She lived in Japan **for a while**.|I haven't seen him **for a while**.|
for the time being|пока; на данный момент|2026-04-02|learning||**For the time being**, let's keep the old system.|She's staying with us **for the time being**.|**For the time being**, we'll wait.|
in a hurry|в спешке|2026-04-02|learning||I'm **in a hurry** — I can't stop.|She left **in a hurry** and forgot her keys.|Don't make decisions **in a hurry**.|
in a row|подряд|2026-04-02|learning||She won three games **in a row**.|It rained for five days **in a row**.|He was late three times **in a row**.|
in addition to|в дополнение к|2026-04-02|learning||**In addition to** English, she speaks French.|**In addition to** the salary, they offer a bonus.|We need help **in addition to** what we have.|
in comparison with|по сравнению с|2026-04-02|learning||The new model is cheaper **in comparison with** the old one.|**In comparison with** last year, sales are up.|Her flat is tiny **in comparison with** his house.|
in conclusion|в заключение|2026-04-02|learning||**In conclusion**, the project was a success.|**In conclusion**, we need more funding.|**In conclusion**, I'd like to thank everyone.|
in contrast|в отличие|2026-04-02|learning||Dogs are loyal. **In contrast**, cats are independent.|**In contrast** to the UK, Spain is hot.|Her work improved, **in contrast** to his.|
in danger|в опасности|2026-04-02|learning||The building is **in danger** of collapse.|He was **in danger** of losing his job.|Wildlife is **in danger** due to pollution.|
in debt|в долгу|2026-04-02|learning||She's deeply **in debt**.|He's **in debt** to the bank.|They got **in debt** after the renovation.|
in demand|востребован|2026-04-02|learning||Good teachers are always **in demand**.|This product is **in high demand**.|Her skills are **in demand** worldwide.|
in detail|подробно|2026-04-02|learning||She explained everything **in detail**.|Let's discuss it **in detail** tomorrow.|He described the plan **in detail**.|
in doubt|под сомнением|2026-04-02|learning||The result is still **in doubt**.|If **in doubt**, ask your teacher.|Her sincerity is **in doubt**.|
