phrasal_verb|translation|exportedAt|status|knownAt|s1|s2|s3
break down|сломаться; расплакаться|2026-04-02|learning||The car **broke down** on the highway.|She **broke down** in tears after the news.|The washing machine **broke down** again.
break in|вломиться; разносить обувь|2026-04-02|learning||Someone **broke in** while we were away.|I need to **break in** my new shoes.|A thief **broke in** through the window.
break into|вломиться в; начать внезапно|2026-04-02|learning||They **broke into** the house at night.|She **broke into** a big smile.|He **broke into** the office to steal files.
break off|отломить; прервать|2026-04-02|learning||She **broke off** a piece of chocolate.|They **broke off** the engagement last week.|He **broke off** in the middle of his speech.
break out|вспыхнуть; сбежать|2026-04-02|learning||A fire **broke out** in the kitchen.|War **broke out** in 1939.|He **broke out** of prison last night.
break through|прорваться; совершить прорыв|2026-04-02|learning||The sun **broke through** the clouds.|Scientists **broke through** with a new treatment.|The team **broke through** after months of work.
break up|расстаться; разбить на части|2026-04-02|learning||They **broke up** after three years together.|The teacher **broke up** the fight.|Let's **break up** this task into smaller steps.
bring back|вернуть; вызвать воспоминания|2026-04-02|learning||Please **bring back** my book tomorrow.|This song **brings back** happy memories.|Can you **bring back** some milk from the shop?
bring down|снизить; свергнуть|2026-04-02|learning||We must **bring down** inflation.|The protesters **brought down** the regime.|Heavy rain **brought down** the power lines.
bring in|ввести; приносить доход|2026-04-02|learning||They **brought in** a new law last year.|The business **brings in** good money.|The company **brought in** an outside expert.
bring out|выпустить; выявить|2026-04-02|learning||They **brought out** a new phone model.|The sun **brings out** the colour in your hair.|She **brings out** the best in people.
bring up|воспитать; поднять тему|2026-04-02|learning||She was **brought up** by her grandparents.|Don't **bring up** that topic again.|He **brought up** an interesting point.
call back|перезвонить|2026-04-02|learning||Can you **call** me **back** in ten minutes?|I'll **call** you **back** after the meeting.|She asked him to **call back** later.
call for|требовать; зайти за кем-то|2026-04-02|learning||This situation **calls for** patience.|I'll **call for** you at seven.|The job **calls for** strong skills.
call off|отменить|2026-04-02|learning||They **called off** the wedding.|The game was **called off** due to rain.|We had to **call off** the search.
call on|навестить; призвать|2026-04-02|learning||The teacher **called on** me to answer.|We **called on** our friends on Sunday.|He **called on** the team to work harder.
carry on|продолжать|2026-04-02|learning||Please **carry on** with your work.|She **carried on** talking as if nothing happened.|**Carry on** without me, I'll catch up.
carry out|выполнить; провести|2026-04-02|learning||The doctor **carried out** the operation.|We need to **carry out** more tests.|They **carried out** his instructions carefully.
check in|зарегистрироваться|2026-04-02|learning||We **checked in** at the hotel at noon.|You can **check in** online before your flight.|Please **check in** at the front desk.
check out|выписаться; проверить|2026-04-02|learning||We **checked out** of the hotel at ten.|You should **check out** this new restaurant.|He **checked out** the book from the library.
cheer up|подбодрить; повеселеть|2026-04-02|learning||**Cheer up**! Things will get better.|I bought her flowers to **cheer** her **up**.|He **cheered up** when he saw his friends.
clean up|убрать; навести порядок|2026-04-02|learning||Please **clean up** your room before dinner.|We **cleaned up** after the party.|The city **cleaned up** the park.
