english|russian|source
cancel|отменить|Lesson 1 - 150 важных фразовых глаголов часть 1.md
understand|понимать|Lesson 1 - 150 важных фразовых глаголов часть 1.md
admire|восхищаться|Lesson 1 - 150 важных фразовых глаголов часть 1.md
it isn't surprising that|Неудевительно|Lesson 1 - 150 важных фразовых глаголов часть 1.md
not surprisingly|Неудевительно|Lesson 1 - 150 важных фразовых глаголов часть 1.md
continue|продолжать|Lesson 1 - 150 важных фразовых глаголов часть 1.md
pretend|притворяться|Lesson 1 - 150 важных фразовых глаголов часть 1.md
happen|происходит|Lesson 1 - 150 важных фразовых глаголов часть 1.md
flick through|просмотреть, пролистать|Lesson 1 - 150 важных фразовых глаголов часть 1.md
start|начать делать что-то|Lesson 1 - 150 важных фразовых глаголов часть 1.md
make up for lost time|наверстать упущенное время|Lesson 1 - 150 важных фразовых глаголов часть 1.md
compensate|компенсировать|Lesson 1 - 150 важных фразовых глаголов часть 1.md
look up in|посмотреть, поискать(в справочнике, словаре, инструкций)|Lesson 1 - 150 важных фразовых глаголов часть 1.md
live out|упускать, не включать|Lesson 1 - 150 важных фразовых глаголов часть 1.md
not to include|упускать, не включать|Lesson 1 - 150 важных фразовых глаголов часть 1.md
get on with|ладить с|Lesson 2 - 150 важных фразовых глаголов часть 2.md
get on well|хорошо ладить|Lesson 2 - 150 важных фразовых глаголов часть 2.md
get along well|хорошо ладить|Lesson 2 - 150 важных фразовых глаголов часть 2.md
catch up with|догнать кого-то|Lesson 2 - 150 важных фразовых глаголов часть 2.md
be over|закончиться|Lesson 2 - 150 важных фразовых глаголов часть 2.md
finish|закончиться|Lesson 2 - 150 важных фразовых глаголов часть 2.md
meet|встретить|Lesson 2 - 150 важных фразовых глаголов часть 2.md
run out of|закончится|Lesson 2 - 150 важных фразовых глаголов часть 2.md
get down|расстраивать, угнетать|Lesson 2 - 150 важных фразовых глаголов часть 2.md
look in|заглянуть, навестить|Lesson 3 - 150 важных фразовых глаголов часть 3.md
look in on someone|заглянуть к кому-то|Lesson 3 - 150 важных фразовых глаголов часть 3.md
resemble|быть похожим на кого-то|Lesson 3 - 150 важных фразовых глаголов часть 3.md
fall out / quarrel|ссориться|Lesson 3 - 150 важных фразовых глаголов часть 3.md
look through|просмтаривать|Lesson 3 - 150 важных фразовых глаголов часть 3.md
look back|оглянуться|Lesson 3 - 150 важных фразовых глаголов часть 3.md
look ahead|забегать вперед, смотря вперед|Lesson 3 - 150 важных фразовых глаголов часть 3.md
get across|донести, передать (мысль, идею)|Lesson 3 - 150 важных фразовых глаголов часть 3.md
drop out of|бросить учебу|Lesson 4 - 150 важных фразовых глаголов часть 4.md
to everyone's surprise|к всеобщему удивлению|Lesson 4 - 150 важных фразовых глаголов часть 4.md
go up|вырастать, подниматься|Lesson 4 - 150 важных фразовых глаголов часть 4.md
point at|указывать на|Lesson 4 - 150 важных фразовых глаголов часть 4.md
put aside|отложить / отбросить в сторону|Lesson 6 - 150 важных фразовых глаголов часть 6.md
cool down|успокоиться, остыть|Lesson 6 - 150 важных фразовых глаголов часть 6.md
dress down|одеваться неформально|Lesson 6 - 150 важных фразовых глаголов часть 6.md
let's eat out tonight|Давай поедим где нибудь сегодня вечером|Lesson 7 - 150 фразовых глаголов.md
come on|давай, ну же|Lesson 7 - 150 фразовых глаголов.md
move on to|перейти к чему-то|Lesson 7 - 150 фразовых глаголов.md
bring forward|предлагать|Lesson 7 - 150 фразовых глаголов.md
come through|перенести что-то (трудности, испытания)|Lesson 7 - 150 фразовых глаголов.md
go under|разориться|Lesson 7 - 150 фразовых глаголов.md
brighten up|скрасить, украсить|Lesson 7 - 150 фразовых глаголов.md
