phrase|type|translation|exportedAt|status|knownAt|s1|s2|s3|note
agree with|verb|соглашаться с|2026-04-09|learning|||I **agree with** you on this.|She doesn't **agree with** his plan.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
apologize for|verb|извиняться за|2026-04-09|learning|||He **apologized for** being late.|She **apologized for** the mistake.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
apply for|verb|подавать заявку на|2026-04-09|learning|||She **applied for** a new job.|He **applied for** a visa last week.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
approve of|verb|одобрять|2026-04-09|learning|||Her parents don't **approve of** her choice.|I **approve of** the new plan.|Часто после прилагательных эмоций и существительных характеристик: afraid of, aware of, capable of, full of, proud of; cause of, lack of, reason of. Также после verbs: consist of, accuse of, remind of.
argue about|verb|спорить о|2026-04-09|learning|||They always **argue about** money.|Stop **arguing about** small things.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
argue with|verb|спорить с|2026-04-09|learning|||Don't **argue with** your teacher.|She **argued with** her brother.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
arrive at|verb|прибывать в (место)|2026-04-09|learning|||We **arrived at** the airport on time.|She **arrived at** the meeting late.|Точечная цель, объект внимания: laugh at, look at, point at, shout at, smile at, stare at, good at, bad at, terrible at. "На (точечно) / в (умении) → AT".
arrive in|verb|прибывать в (город/страну)|2026-04-09|learning|||They **arrived in** London yesterday.|We **arrived in** France last night.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
ask for|verb|просить|2026-04-09|learning|||He **asked for** help.|She **asked for** a glass of water.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
believe in|verb|верить в|2026-04-09|learning|||I **believe in** hard work.|She **believes in** herself.|Область, погружение, участие: interested in, succeed in, believe in, specialize in, involved in, experienced in, increase in, decrease in. "В сфере/области/деятельности → IN".
belong to|verb|принадлежать|2026-04-09|learning|||This book **belongs to** me.|Who does this bag **belong to**?|Направление действия или цель: listen to, talk to, refer to, react to, respond to, lead to, similar to, related to, married to. Запомни: "кому/куда/к чему → TO".
blame for|verb|обвинять в|2026-04-09|learning|||Don't **blame** me **for** your mistakes.|She **blamed** him **for** the accident.|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
borrow from|verb|брать взаймы у|2026-04-09|learning|||I **borrowed** a pen **from** her.|He **borrowed** money **from** the bank.|Источник, происхождение, отделение: differ from, suffer from, recover from, escape from, hide from, far from, different from, absent from. "Откуда / отделение → FROM".
care about|verb|заботиться о|2026-04-09|learning|||She **cares about** the environment.|He doesn't **care about** money.|Тема обсуждения или беспокойства: talk about, think about, worry about, complain about, dream about, anxious about, concerned about, doubts about. "О чём → ABOUT".
care for|verb|ухаживать за|2026-04-09|learning|||She **cares for** her sick mother.|Who **cares for** the children?|Цель, причина, обмен, длительность: apply for, ask for, look for, pay for, search for, wait for, famous for, responsible for, sorry for, reason for, demand for. "За что/для чего → FOR".
choose between|verb|выбирать между|2026-04-09|learning|||I can't **choose between** them.|She had to **choose between** two jobs.|Между двумя сторонами: choose between, difference between, link between, connection between, contrast between. "Между двумя → BETWEEN".
comment on|verb|комментировать|2026-04-09|learning|||He **commented on** the article.|She refused to **comment on** the news.|Часто означает зависимость, опору, тему: depend on, rely on, count on, focus on, comment on, insist on, congratulate on. Тебя учат: "когда есть зависимость или внимание к чему-то → ON".
compare with|verb|сравнивать с|2026-04-09|learning|||Don't **compare** yourself **with** others.|**Compared with** last year, sales are up.|Сопровождение, средство, отношение: agree with, deal with, struggle with, satisfied with, familiar with, fed up with. Запомни: "вместе с / посредством / по отношению к → WITH".
