english|russian|source
with the help of|с помощью|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
for a change|для разнобразия|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
go for a walk|пойти на прогулку|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
if you don't mind|если ты не возражаешь|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
just out of curiosity|чисто (просто) из любопытсва|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
for sale|продается, выставлен продажу|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
in practice|на практике|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
for example|например|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
for a start|для начала|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
for ages|целую вежность|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
at a loss|в растерянности|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
for sure|точно|Lesson 6 - Устойчивые фразы с предлогами - часть 1.md
on good terms|в хороших отношениях|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
by nature|от природы|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
to my surprise|к моему удивлению|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
to my great surprise|к моему большому удивлению|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
to my greatest surprise|к моему огромному удивлению|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
take it into account|принимать это во внимание|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
doubts about|сомнения по поводу чего-то|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
in addition to it|в добавление к этому|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
in good condition|в хорошем состояний|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
in a good mood|в хорошем настроений|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
take it for granted|принимать это как должное|Lesson 7 - Устойчивые фразы с предлогами - часть 2.md
